estate,estate_eng,estate_chi,age_5,t_pop,elderly_share,elder_dominant,time_label
62123,YOHO Town,新時代廣場,366,4785,0.076489028,FALSE,non-morning
20159,Yu Chui Court,愉翠苑,1821,13132,0.1386689,FALSE,non-morning
20160,Yu Ming Court,裕明苑,779,3491,0.223145231,TRUE,morning
20161,Yu Tung Court,裕東苑,1534,6848,0.224007009,TRUE,morning
62192,Yuccie Square,世宙,285,2789,0.102187164,FALSE,non-morning
20162,Yue Fai Court,漁暉苑,718,3025,0.237355372,TRUE,morning
30014,Yue Kwong Chuen,漁光村,729,2679,0.272116461,TRUE,morning
20163,Yue On Court,漁安苑,989,5175,0.191111111,FALSE,non-morning
20165,Yue Tin Court,愉田苑,1276,4604,0.277150304,TRUE,morning
10203,Yue Wan Estate,漁灣邨,1426,7998,0.178294574,FALSE,non-morning
20167,Yuet Wu Villa,悅湖山莊,2413,10760,0.224256506,TRUE,morning
20168,Yuk Ming Court,煜明苑,917,5090,0.180157171,FALSE,non-morning
20169,Yuk Po Court,旭埔苑,975,3015,0.323383085,TRUE,morning
20174,Yung Ming Court,雍明苑,677,3360,0.201488095,TRUE,morning
10204,Yung Shing Court,雍盛苑,1329,7434,0.178773204,FALSE,non-morning
