name,address,type,lat,lon
Recycling Bins at Public Place,Fanling Wai (Middle section) (N-30) at Fanling Wai (Middle section),Basic,22.497412,114.136059
Recycling Bins at Public Place,"Hak Pai Chai, Lung Yeuk Tau Sha Tau Kok Road (N-32) at Hak Pai Chai, Lung Yeuk Tau Sha Tau Kok Road",Basic,22.504823,114.150696
Recycling Bins at Public Place,Kwai Tei North (I) (N-35) at Kwai Tei North (I),Basic,22.513033,114.158837
Recycling Bins at Public Place,Kwai Tei Village RCP (N-37),Basic,22.50972,114.15942
Recycling Bins at Public Place,Ling Shan Tsuen near Hospital (N-39) at Ling Shan Tsuen near Hospital,Basic,22.501183,114.137118
Recycling Bins at Public Place,Ma Wat Tsuen RCP (N-41),Basic,22.499323,114.149991
Recycling Bins at Public Place,San Wai Barracks Bus Stop,Basic,22.507461,114.155352
Recycling Bins at Public Place,"San Wai Barracks, Sha Tau Kok Road (N-47) at San Wai Barracks, Sha Tau Kok Road",Basic,22.506263,114.15305
Recycling Bins at Public Place,Tong Hang Tsuen RCP (N-48) ,Basic,22.489462,114.149368
Recycling Bins at Public Place,Tung Kok Wai (N-49) at Tung Kok Wai,Basic,22.500321,114.153992
Recycling Bins at Public Place,Outside Chuk Yuen Tsuen Sewage Pumping Station,Basic,22.54531,114.15538
Recycling Bins at Public Place,Ha Shan Kai Wat (N-54) at Ha Shan Kai Wat,Basic,22.520815,114.159713
Recycling Bins at Public Place,Ping Che Vegetable Station (N-57) at Ping Che Vegetable Station,Basic,22.522856,114.162011
Recycling Bins at Public Place,"Sha Tau Kok Rd J/OLin Ma Hang Rd,Tsoi Yuen Kok (N-62) at Sha Tau Kok Rd J/OLin Ma Hang Rd,Tsoi Yuen Kok",Basic,22.546453,114.225342
Recycling Bins at Public Place,Shek Chung Au (N-63) at Shek Chung Au,Basic,22.536714,114.210696
Recycling Bins at Public Place,"Cheung Po Tau Tsuen, Ma Kam To Road (N-67) at Cheung Po Tau Tsuen, Ma Kam To Road",Basic,22.529556,114.127319
Recycling Bins at Public Place,"Cheung Po Tau Tsuen, near Man Kam To Road (N-70) at Cheung Po Tau Tsuen, near Man Kam To Road",Basic,22.526164,114.12365
Recycling Bins at Public Place,Ma Cho Lung San Tsuen near Community Sport (N-71) at Ma Cho Lung San Tsuen near Community Sport,Basic,22.520324,114.100663
Recycling Bins at Public Place,Pui Yau Kindergarden (N-73) at Pui Yau Kindergarden,Basic,22.50708,114.101792
Recycling Bins at Public Place,Nga Yiu (N-81) at Nga Yiu Tsuen,Basic,22.541906,114.137434
Recycling Bins at Public Place,Muk Min Tau Tsuen (N-87) at Muk Min Tau Tsuen,Basic,22.543452,114.217233
Recycling Bins at Public Place,Sha Ling Tsuen near (Sha Ling Cemetery Entrance) RCP (N-90) at Sha Ling Tsuen near Sha Ling Cemetery Entrance,Basic,22.528038,114.121573
Recycling Bins at Public Place,Lin Tong Mei (N-94) at Lin Tong Mei,Basic,22.481965,114.112744
